"Roster Key","Last_Name","First_Name","Middle_Name","Suffix","Legislator","DOB","Education","PublicService","LegService","Occupation","MilitaryService","URLPicture","PictureText"
54,"Green","Jerry",,,"Green, Jerry","April 16, 1939",,"Union County Board of Freeholders 1989-91, 1982-84, Chair 1990","General Assembly 1992-present, Speaker Pro Tempore 2008-present, Deputy Speaker Pro Tempore 2004-07, Deputy Speaker 2002-03","Business Consultant",,"http://www.njleg.state.nj.us/members/memberphotos/green_color.jpg","Assemblyman Jerry Green (D)"
329,"Greenstein","Linda","R.",,"Greenstein, Linda R.","June 7, 1950","A.B. Vassar College (Psychology)<br>
M.A. Johns Hopkins University (Psychology)<br>
J.D. Georgetown University Law Center","Plainsboro Township Committee 1995-2000; West Windsor-Plainsboro Board of Education 1992-94","Senate 2010-present, Assistant Majority Leader 2012-present; General Assembly 2000-10, Deputy Speaker 2006-10, Assistant Majority Leader 2002-05","Legislator",,"http://www.njleg.state.nj.us/members/memberphotos/greenstein_color.jpg","Senator Linda R. Greenstein (D)"
155,"Greenwald","Louis","D.",,"Greenwald, Louis D.","March 11, 1967","B.A. Moravian College (Political Science)<br>J.D. Seton Hall University School of Law",,"General Assembly 1996-present,  Majority Leader 2012-present, Assembly Budget Chair 2002-11, Assistant Minority Leader 1998-99","Attorney",,"http://www.njleg.state.nj.us/members/memberphotos/greenwald_color.jpg","Assemblyman Louis D. Greenwald (D)"
158,"Gusciora","Reed",,,"Gusciora, Reed","March 27, 1960","B.A. The Catholic University of America (Politics/International Relations)<br>
J.D. Seton Hall University School of Law",,"General Assembly 1996-present,  Deputy Majority Leader 2008-present, Assistant Majority Leader 2006-07,  Assistant Minority Leader 1998-2001","Attorney",,"http://www.njleg.state.nj.us/members/memberphotos/gusciora_color.jpg","Assemblyman Reed Gusciora (D)"
254,"Handlin","Amy","H.",,"Handlin, Amy H.",,"B.A. Harvard University (History)<br>
M.B.A. Columbia University (Marketing)<br>
Ph.D. New York University (Marketing)","Monmouth County Board of Freeholders 1990-2005; Middletown Township Committee 1987-90","General Assembly 2006-present, Deputy Republican Leader 2008-present, Deputy Leader 2007","Associate Professor of Marketing, Monmouth University",,"http://www.njleg.state.nj.us/members/memberphotos/handlin_color.jpg","Assemblywoman Amy H. Handlin (R)"
374,"Holley","Jamel","C.",,"Holley, Jamel C.","September 13","B.A. New Jersey City University (Criminal Justice)<br>M.P.A. Kean University","Borough of Roselle, Mayor 2012-15, Council 2004-11","General Assembly 2015-present","Director of Public Works, Township of Irvington",,"http://www.njleg.state.nj.us/members/memberphotos/holley_color.jpg","Assemblyman Jamel C. Holley (D)"
334,"Holzapfel","James","W.",,"Holzapfel, James W.",,"B.A. Monmouth College (Pre-Law)<br>
J.D. Seton Hall University School of Law","Ocean County College 1988-94, Trustee; Ocean County Prosecutor 1987-92","Senate 2012-present; General Assembly 1994-2011, Parliamentarian 2010-11, Deputy Republican Leader 2002-03, Assistant Majority Whip 1998-99","Senior Managing Partner, Citta, Holzapfel, Zabarsky",,"http://www.njleg.state.nj.us/members/memberphotos/holzapfel_color.jpg","Senator James W. Holzapfel (R)"
379,"Houghtaling","Eric",,,"Houghtaling, Eric","September 5, 1954","JATC, LU400 IBEW (Apprentice Training)","Neptune Township Committee 2011-15, Mayor 2013, Deputy Mayor 2012; Neptune Township Police Commissioner 2014","General Assembly 2016-present; Deputy Majority Leader 2018-present","Electrician, LU400 IBEW",,"http://www.njleg.state.nj.us/members/memberphotos/houghtaling_color.jpg","Assemblyman Eric Houghtaling (D)"
378,"Howarth","Joe",,,"Howarth, Joe","August 27, 1955","B.S. Trenton State College (Health, Physical Education)","Burlington County Deputy Director 2014, Board of Chosen Freeholders 2012-14; Evesham Township Council Deputy Mayor 2009-11, Evesham Board of Education 2003-07","General Assembly 2016-present","Paraprofessional/Special Education, Lenape Regional High School District",,"http://www.njleg.state.nj.us/members/memberphotos/howarth_color.jpg","Assemblyman Joe Howarth (R)"
284,"Jasey","Mila","M.",,"Jasey, Mila M.","May 29, 1951","B.A. Barnard College (History)<br>M.S. Lienhard School of Nursing at Pace University","South Orange-Maplewood Board of Education 1999-2007","General Assembly 2007-present, Deputy Speaker 2016-present","Legislator",,"http://www.njleg.state.nj.us/members/memberphotos/jasey_color.jpg","Assemblywoman Mila M. Jasey (D)"
344,"Jimenez","Angelica","M.",,"Jimenez, Angelica M.","March 19, 1965","Certificate, Hudson Area School of Radiologic Technology (Diagnostic Radiography)","West New York Housing Corporation Board 2010-Present; N.J. Democratic State Committee 2008-Present; West New York Board of Education, Vice President 2009-11; West New York Housing Authority, Vice Chair 2008-10","General Assembly 2012-present, Deputy Majority Leader 2016-2017","MRI, CT and Mammography Radiographer Specialist",,"http://www.njleg.state.nj.us/members/memberphotos/jimenez_color.jpg","Assemblywoman Angelica M. Jimenez (D)"
214,"Johnson","Gordon","M.",,"Johnson, Gordon M.","December 16","B.S. St. Thomas Aquinas College (Social Science/Criminal Justice)<br>
M.A. Seton Hall University (Administration and Supervision)<br>
U.S. Army Command and General Staff College","Bergen County,  Undersheriff 2002-05, 1999-2001, Sheriff 2001-02","General Assembly 2002-present, Speaker Pro Tempore 2018-present, Deputy Speaker 2014-2018, Majority Conference Leader 2012-13, Deputy Conference Leader 2010-11","Independent Consultant","U.S. Army Reserve, Major","http://www.njleg.state.nj.us/members/memberphotos/johnson_color.jpg","Assemblyman Gordon M. Johnson (D)"
375,"Jones","Patricia","Egan",,"Jones, Patricia Egan",,"A.S. Mt. Aloysius College (Fine Arts)<BR>B.S. Rutgers University-Camden (Political Science)","Camden County Surrogate 2001-15, Camden County Freeholder 1998-2000, Barrington Borough Council 1996-98","General Assembly 2015-present",,,"http://www.njleg.state.nj.us/members/memberphotos/jones_color.jpg","Assemblywoman Patricia Egan Jones (D)"
388,"Karabinchak","Robert","J.",,"Karabinchak, Robert J.",,,"Edison Municipal Council, 2007, 2009-16","General Assembly 2016-present; Deputy Majority Whip 2018-present","President, Tri-Form Construction, Inc.",,"http://www.njleg.state.nj.us/members/memberphotos/karabinchak_color.jpg","Assemblyman Robert J. Karabinchak (D)"
333,"Kean","Sean","T.",,"Kean, Sean T.","May 21, 1963","B.A. Seton Hall University (Political Science)<br>
M.A.L.S. Columbia University (American Studies)<br>
J.D. Seton Hall University School of Law","Wall Township Planning Board 2001-02; Monmouth County Environmental Council 1999-2001","General Assembly 2012-present; Senate 2008-11; General Assembly 2002-07, Assistant Whip 2004-07","Attorney, Private Practice",,"http://www.njleg.state.nj.us/members/memberphotos/kean_sean_color.jpg","Assemblyman Sean T. Kean (R)"
220,"Kean","Thomas","H.","Jr.","Kean, Thomas H.","September 5, 1968","B.A. Dartmouth College (History)<br>
M.A.L.D., Completed Doctoral Studies ABD, Fletcher School of Law and Diplomacy at Tufts University (International Relations)",,"Senate 2003-present, Republican Leader 2008-present, Minority Whip 2004-07, Deputy Whip 2003; General Assembly 2001-03","Legislator",,"http://www.njleg.state.nj.us/members/memberphotos/kean_tom_color.jpg","Senator Thomas H. Kean Jr. (R)"
381,"Kennedy","James","J.",,"Kennedy, James J.","February 9, 1953",,"City of Rahway, Mayor 1991-2010","General Assembly 2016-present","Principal, Skye Consulting L.L.C.",,"http://www.njleg.state.nj.us/members/memberphotos/kennedy_color.jpg","Assemblyman James J. Kennedy (D)"
367,"Lagana","Joseph","A.",,"Lagana, Joseph A.","December 15, 1978","B.A. Fordham University (History)<br> J.D. Thomas M. Cooley Law School (Law)","Borough of Paramus Council President 2012-13","General Assembly 2014-present, Deputy Parliamentarian 2016-2017","Attorney, Chasan, Leyner & Lamparello, P.C.",,"http://www.njleg.state.nj.us/members/memberphotos/lagana_color.jpg","Assemblyman Joseph Lagana (D)"
411,"Lagana","Joseph","A.",,"Lagana, Joseph A.","December 15, 1978","B.A. Fordham University (History)<br>J.D. Thomas M. Cooley Law School (Law)","Borough of Paramus Council President 2012-13","Senate 2018-present; General Assembly 2014-2018, Deputy Parliamentarian 2016-2017","Attorney, Chasan, Leyner & Lamparello, P.C.",,"http://www.njleg.state.nj.us/members/memberphotos/lagana_color.jpg","Senator Joseph Lagana (D)"
251,"Lampitt","Pamela","R.",,"Lampitt, Pamela R.","December 19, 1960","A.S. Johnson and Wales College (Culinary Science)","Cherry Hill Township Council 2004-06; Cherry Hill Zoning Board 2003-04","General Assembly 2006-present, Deputy Speaker 2012-present","General Manager for Conference and Dining Services, University of Pennsylvania",,"http://www.njleg.state.nj.us/members/memberphotos/lampitt_pamela_2017.jpg","Assemblywoman Pamela R. Lampitt (D)"
382,"Land","R.","Bruce",,"Land, R. Bruce","June 24, 1950","Cumberland County College (Business Marketing)","N.J. Department of Corrections 1983-2008","General Assembly 2016-present","Legislator","U.S. Army 1969-1971, Sergeant","http://www.njleg.state.nj.us/members/memberphotos/land_color.jpg","Assemblyman R. Bruce Land (D)"
401,"Lopez","Yvonne",,,"Lopez, Yvonne","July 28, 1957","Rutgers University","Democratic State Committee 2016-present; Supreme Court of N.J. District VIII Ethics Committee 2015-17; North Brunswick Zoning Board 2011; Perth Amboy Business Improvement District, Member 2011-15","General Assembly 2018-present","Executive Director/CEO, PRAHD",,"http://www.njleg.state.nj.us/members/memberphotos/lopez_yvonne_2017.jpg","Assemblywoman Yvonne Lopez (D)"
230,"Madden","Fred","H.","Jr.","Madden, Fred H.","March 30, 1954","B.A. Glassboro State College (Law/Justice)<br>
M.S. St. Joseph’s University (Criminal Justice)",,"Senate 2004-present","Dean, Gloucester County Police Academy",,"http://www.njleg.state.nj.us/members/memberphotos/madden_color.jpg","Senator Fred H. Madden, Jr. (D)"
373,"Muoio","Elizabeth","Maher",,"Muoio, Elizabeth Maher",,"B.A. Wesleyan University (History)<br>J.D. Georgetown University","Mercer County Board of Chosen Freeholders 2001-2008; Pennington Borough Council 1997-2002","General Assembly 2015-present","Director of Economic Development, Mercer County",,"http://www.njleg.state.nj.us/members/memberphotos/muoio_color.jpg","Assemblywoman Elizabeth Maher Muoio (D)"
397,"Murphy","Carol","A.",,"Murphy, Carol A.",,"Camden County College<br>Institute for Paralegal Studies, Paralegal Certificate<br>Kaplan University (Arts and Sciences)","Office of Assemblywoman Gabriela M. Mosquera, Director of Policy 2012-17; Office of Senator Linda Greenstein, Chief of Staff 2011; New Jersey Schools Development Authority, Community Relations Manager 2006-11, Communications Officer 2003-06","General Assembly 2018-present","Legislator",,"http://www.njleg.state.nj.us/members/memberphotos/murphy_carol_2017.jpg","Assemblywoman Carol A. Murphy (D)"
394,"O'Scanlon","Declan","J.","Jr.","O'Scanlon, Declan J.","June 9, 1963","B.A. Monmouth University (Psychology)<br>B.S. Monmouth University (Finance)","Borough of Little Silver Council 1994-2007","Senate 2018-present, General Assembly 2008-2017, Republican Budget Officer 2011-2017, Policy Co-Chair 2010-11, Assistant Republican Whip 2009","Chief Executive Officer, FSD Enterprises L.L.C.",,"http://www.njleg.state.nj.us/members/memberphotos/oscanlon_color.jpg","Senator Declan Joseph O'Scanlon, Jr. (R)"
281,"Oroho","Steven","V.",,"Oroho, Steven V.","July 26, 1958","B.S. Saint Francis University (Accounting)","Sussex County Board of Freeholders 2005-07; Franklin Borough Council 2001-06","Senate 2008-present, Conference Leader 2018-present","Certified Financial Planner",,"http://www.njleg.state.nj.us/members/memberphotos/oroho_color.jpg","Senator Steven V. Oroho (R)"
305,"Pennacchio","Joseph",,,"Pennacchio, Joseph","May 27, 1955","B.S. Brooklyn College (Biology)<br>D.D.S. New York University College of Dentistry","N.J. Economic Development Authority 1998-2001; Morris County Board of Freeholders 1999-2001","Senate 2008-present, Republican Whip 2017-present, Assistant Republican Leader 2014-2017, General Assembly 2001-07, Appropriations Officer 2004-07","Dentist",,"http://www.njleg.state.nj.us/members/memberphotos/pennacchio_color.jpg","Senator Joseph Pennacchio (R)"
398,"Peters","Ryan","E.",,"Peters, Ryan E.",,"B.S. United States Naval Academy (Political Science)<br>J.D. Rutgers University School of Law (Law)","Burlington County Board of Chosen Freeholders 2016-18","General Assembly 2018-present","Attorney, Pepper Hamilton LLP","Navy 2004-present, Lieutenant Commander","http://www.njleg.state.nj.us/members/memberphotos/peters_ryan_2017.jpg","Assemblyman Ryan Peters (R)"
320,"Peterson","Erik",,,"Peterson, Erik","March 8, 1966","B.A. North Carolina State University (Business Management)<br>J.D. Temple University School of Law","Hunterdon County Freeholders 2006-09, Director 2008, Deputy Director 2007","General Assembly 2009-present, Assistant Republican Whip 2014-present, Policy Co-Chair 2012-13","Attorney, Law Offices of Erik Peterson L.L.C.",,"http://www.njleg.state.nj.us/members/memberphotos/peterson_color.jpg","Assemblyman Erik Peterson (R)"
361,"Pinkin","Nancy","J.",,"Pinkin, Nancy J.",,"A.A.S. Middlesex County College (Applied Science)<br>B.S. Rutgers University<br>M.P.A. New York University (Public Administration/Health Administration)<br>University of Medicine and Dentistry of New Jersey (Health Policy and Research)","East Brunswick Township Council 2005-14, President 2006-08; East Brunswick Planning Board 2005, 2008-09","General Assembly 2014-present; Deputy Speaker Pro Tempore, 2018-present","Health Consultant and Association Management, Pinkin Associates, Inc.",,"http://www.njleg.state.nj.us/members/memberphotos/pinkin_color.jpg","Assemblywoman Nancy Pinkin (D)"
362,"Pintor Marin","Eliana",,,"Pintor Marin, Eliana","October 23, 1980","B.S. St. John’s University (Legal Studies)<br>
M.S. St. John’s University (Government and Politics)<br>
Certificate in International Relations and Public Administration, St. John’s University","Newark Board of Education Advisory Board Member 2008-2014","General Assembly 2013-present, Budget Chair 2018-present","Division Manager of Passports and Vault Recording, Essex County Clerk’s Office",,"http://www.njleg.state.nj.us/members/memberphotos/pintormarin_eliana_2017.jpg","Assemblywoman Eliana Pintor Marin (D)"
335,"Pou","Nellie",,,"Pou, Nellie","May 20","Kean College<br>
Rutgers University","N.J. Legislative Latino Caucus Chair 2006-present; N.J. Task Force on Child Abuse and Neglect 1997-present; Passaic-Bergen County HIV Health Services Advisory Council 1993-97; City of Paterson Department of Human Resources 1983-97, Chair","Senate 2012-present;  General Assembly 1997-2011,  Assembly Appropriations Chair 2006-11, Deputy Speaker 2002-05, Assistant Minority Leader 2000-01","Assistant Business Administrator, City of Paterson",,"http://www.njleg.state.nj.us/members/memberphotos/pou_color.jpg","Senator Nellie Pou (D)"
247,"Prieto","Vincent",,,"Prieto, Vincent","September 11, 1960","Middlesex County College (Construction Code Technology)<br>
Bergen County Community College (Fire Code Technology)","Secaucus Planning Board 1998-2001","General Assembly 2004-present, Speaker 2014-2017, Budget Chair 2012-13, Deputy Majority Whip 2006-11","Construction Code Official",,"http://www.njleg.state.nj.us/members/memberphotos/prieto_color.jpg","Assemblyman Vincent Prieto (D)"
309,"Quijano","Annette",,,"Quijano, Annette","July 4th","B.S. Rutgers University (Management)<br>
J.D. Rutgers Law School",,"General Assembly 2008-present, Deputy Majority Leader 2012-present","Municipal Prosecutor",,"http://www.njleg.state.nj.us/members/memberphotos/quijano_color.jpg","Assemblywoman Annette Quijano (D)"
409,"Reynolds-Jackson","Verlina",,,"Reynolds-Jackson, Verlina","July 26","B.A. The College of New Jersey (Sociology)<br>
M.S. Central Michigan University (Administration)","Trenton City Council 2010-18, Vice President 2014-18","General Assembly 2018-present","Grants Administrator, Mercer County",,"http://www.njleg.state.nj.us/members/memberphotos/reynolds-jackson_verlina_2018.jpg","Assemblywoman Verlina Reynolds-Jackson (D)"
85,"Rice","Ronald","L.",,"Rice, Ronald L.","December 18, 1945","A.S. Essex County College (Police Science)<br>
B.S. John Jay College of Criminal Justice (Criminal Justice)<br>
M.A. Rutgers University (Criminal Justice)<br>
Rutgers  School of Law","N.J. Legislative Black Caucus Chair 2009-present; City of Newark Deputy Mayor 2002-06, Council 1982-98","Senate 1986-present, Assistant  Majority Leader 2008-09, Associate Minority Leader 1998-2001, Assistant Deputy Minority Leader 1994-97, Assistant Majority Leader 1990-91","Legislator","U.S. Marine Corps 1966-70, Sergeant","http://www.njleg.state.nj.us/members/memberphotos/rice_color.jpg","Senator Ronald  L. Rice (D)"
390,"Rooney","Kevin","J.",,"Rooney, Kevin J.","January 13, 1960","Ramapo College (Business)","Wyckoff Township Mayor 2011, 15-16, Deputy Mayor 2010, 2014, Committeeman 2012-13, Zoning Board 1999-2009","General Assembly 2016-present","Managing Partner, HMS Global Holdings, LLC",,"http://www.njleg.state.nj.us/members/memberphotos/rooney.jpg","Assemblyman Kevin J. Rooney (R)"
287,"Ruiz","M.","Teresa",,"Ruiz, M. Teresa","June 28, 1974","B.A. Drew University (English)",,"Senate 2008-present, Senate President Pro Tempore 2018-present, Assistant Majority Leader 2010-2017","Deputy Chief of Staff, Essex County Executive",,"http://www.njleg.state.nj.us/members/memberphotos/ruiz_color.jpg","Senator M. Teresa Ruiz (D)"
228,"Rumpf","Brian","E.",,"Rumpf, Brian E.","May 11, 1964","B.A. The Catholic University of America (Politics)<br>
J.D. Washington and Lee University School of Law","Little Egg Harbor Township Committee 1997-2005, Mayor 2000-03","General Assembly 2003-present, Policy Co-Chair 2014-present","Attorney, Rumpf, Rumpf and Reid",,"http://www.njleg.state.nj.us/members/memberphotos/rumpf_color.jpg","Assemblyman Brian E. Rumpf (R)"
